CarName,fueltype,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price
mazda glc 4,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,two,80,mpfi,135,16,23,15645
mazda 626,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,84,26,32,8845
mazda glc custom l,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,84,26,32,8495
mazda glc custom,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,84,26,32,10595
mazda rx-4,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,84,26,32,10245
mazda glc deluxe,diesel,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,64,36,42,10795
mazda 626,gas,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,84,26,32,11245
mazda glc,gas,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,120,19,27,18280
mazda rx-7 gs,diesel,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,72,31,39,18344
buick electra 225 custom,diesel,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,123,22,25,25552
buick century luxus (sw),diesel,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,123,22,25,28248
buick century,diesel,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,123,22,25,28176
buick skyhawk,diesel,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,123,22,25,31600
buick opel isuzu deluxe,gas,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,155,16,18,34184
buick skylark,gas,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,155,16,18,35056
buick century special,gas,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,184,14,16,40960
buick regal sport coupe (turbo),gas,two,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,184,14,16,45400
mercury cougar,gas,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,175,19,24,16503
mitsubishi mirage,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,68,37,41,5389
mitsubishi lancer,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,68,31,38,6189
mitsubishi outlander,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,68,31,38,6669
mitsubishi g4,gas,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,102,24,30,7689
mitsubishi mirage g4,gas,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,116,23,30,9959
mitsubishi g4,gas,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,88,25,32,8499
mitsubishi outlander,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,145,19,24,12629
mitsubishi g4,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,145,19,24,14869
mitsubishi mirage g4,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,145,19,24,14489
mitsubishi montero,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,88,25,32,6989
mitsubishi pajero,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,88,25,32,8189
mitsubishi outlander,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,116,23,30,9279
mitsubishi mirage g4,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,116,23,30,9279
Nissan versa,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,69,31,37,5499
nissan gt-r,diesel,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,55,45,50,7099
nissan rogue,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,69,31,37,6649
nissan latio,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,69,31,37,6849
nissan titan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,69,31,37,7349
nissan leaf,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,69,31,37,7299
nissan juke,gas,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,69,31,37,7799
nissan latio,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,69,31,37,7499
nissan note,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,69,31,37,7999
nissan clipper,gas,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,69,31,37,8249
nissan rogue,gas,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,97,27,34,8949
nissan nv200,gas,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,97,27,34,9549
nissan dayz,gas,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,152,17,22,13499
nissan fuga,gas,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,152,17,22,14399
nissan otti,gas,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,152,19,25,13499
nissan teana,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,160,19,25,17199
nissan kicks,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,200,17,23,19699
nissan clipper,gas,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,160,19,25,18399
peugeot 504,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,97,19,24,11900
peugeot 304,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,95,28,33,13200
peugeot 504 (sw),gas,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,97,19,24,12440
peugeot 504,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,95,25,25,13860
peugeot 504,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,95,19,24,15580
peugeot 604sl,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,95,28,33,16900
peugeot 504,gas,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,95,19,24,16695
peugeot 505s turbo diesel,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,95,25,25,17075
peugeot 504,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,97,19,24,16630
peugeot 504,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,95,28,33,17950
peugeot 604sl,gas,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,134,mpfi,142,18,24,18150
plymouth fury iii,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,68,37,41,5572
plymouth cricket,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,102,24,30,7957
plymouth fury iii,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,68,31,38,6229
plymouth satellite custom (sw),gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,68,31,38,6692
plymouth fury gran sedan,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,68,31,38,7609
plymouth valiant,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,88,24,30,8921
plymouth duster,gas,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,145,19,24,12764
porsche macan,gas,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,143,19,27,22018
porcshce panamera,gas,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,207,17,25,32528
porsche cayenne,gas,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,207,17,25,34028
porsche boxter,gas,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,six,194,mpfi,207,17,25,37028
porsche cayenne,gas,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,eight,203,mpfi,288,17,28,31400.5
renault 12tl,gas,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,90,23,31,9295
renault 5 gtl,gas,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,four,132,mpfi,90,23,31,9895
saab 99e,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,110,21,28,11850
saab 99le,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,110,21,28,12170
saab 99le,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,110,21,28,15040
saab 99gle,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,110,21,28,15510
saab 99gle,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,160,19,26,18150
saab 99e,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,160,19,26,18620
subaru,gas,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,69,31,36,5118
subaru dl,gas,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,73,26,31,7053
subaru dl,gas,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,73,26,31,7603
subaru,gas,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,82,32,37,7126
subaru brz,gas,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,82,28,33,7775
subaru baja,gas,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,94,26,32,9960
subaru r1,gas,four,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,82,24,25,9233
subaru r2,gas,four,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,111,24,29,11259
subaru trezia,gas,four,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,82,28,32,7463
subaru tribeca,gas,four,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,94,25,31,10198
subaru dl,gas,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,82,23,29,8013
subaru dl,gas,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,111,23,23,11694
toyota corona mark ii,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,62,35,39,5348
toyota corona,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,62,31,38,6338
toyota corolla 1200,gas,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,62,31,38,6488
toyota corona hardtop,gas,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,62,31,37,6918
toyota corolla 1600 (sw),gas,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,62,27,32,7898
toyota carina,gas,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,62,27,32,8778
toyota mark ii,gas,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,four,98,2bbl,70,30,37,6938
toyota corolla 1200,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,70,30,37,7198
toyota corona,diesel,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,four,110,idi,56,34,36,7898
toyota corolla,diesel,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,56,38,47,7788
toyota corona,gas,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,70,38,47,7738
toyota corolla,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,70,28,34,8358
toyota mark ii,gas,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,70,28,34,9258
toyota corolla liftback,gas,two,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,four,98,2bbl,70,29,34,8058
toyota corona,gas,two,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,70,29,34,8238
toyota celica gt liftback,gas,two,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,four,98,mpfi,112,26,29,9298
toyota corolla tercel,gas,two,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,four,98,mpfi,112,26,29,9538
toyota corona liftback,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,116,24,30,8449
toyota corolla,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,four,146,mpfi,116,24,30,9639
toyota starlet,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,four,146,mpfi,116,24,30,9989
toyota tercel,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,116,24,30,11199
toyota corolla,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,four,146,mpfi,116,24,30,11549
toyota cressida,gas,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,116,24,30,17669
toyota corolla,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,92,29,34,8948
toyota celica gt,diesel,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,73,30,33,10698
toyota corona,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,92,27,32,9988
toyota corolla,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,92,27,32,10898
toyota mark ii,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,92,27,32,11248
toyota corolla liftback,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,six,171,mpfi,161,20,24,16558
toyota corona,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,six,171,mpfi,161,19,24,15998
toyota starlet,gas,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,156,20,24,15690
toyouta tercel,gas,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,156,19,24,15750
vokswagen rabbit,diesel,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,52,37,46,7775
volkswagen 1131 deluxe sedan,gas,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,85,27,34,7975
volkswagen model 111,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,52,37,46,7995
volkswagen type 3,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,85,27,34,8195
volkswagen 411 (sw),gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,85,27,34,8495
volkswagen super beetle,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,68,37,42,9495
volkswagen dasher,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,100,26,32,9995
vw dasher,gas,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,90,24,29,11595
vw rabbit,gas,two,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,four,109,mpfi,90,24,29,9980
volkswagen rabbit,gas,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,110,19,24,13295
volkswagen rabbit custom,diesel,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,68,33,38,13845
volkswagen dasher,gas,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,88,25,31,12290
volvo 145e (sw),gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,114,23,28,12940
volvo 144ea,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,114,23,28,13415
volvo 244dl,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,114,24,28,15985
volvo 245,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,114,24,28,16515
volvo 264gl,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,162,17,22,18420
volvo diesel,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,162,17,22,18950
volvo 145e (sw),gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,114,23,28,16845
volvo 144ea,gas,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,160,19,25,19045
volvo 244dl,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,134,18,23,21485
volvo 246,diesel,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,106,26,27,22470
volvo 264gl,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,114,19,25,22625
